"","Dia","Valor"
"510","11.Jan.2012",508.76
"511","12.Jan.2012",506.91
"512","13.Jan.2012",501.47
"513","16.Jan.2012",501.99
"514","17.Jan.2012",500.99
"515","18.Jan.2012",496.68
"516","19.Jan.2012",497.05
"517","20.Jan.2012",491.93
"518","23.Jan.2012",491.59
"519","24.Jan.2012",487.87
"520","25.Jan.2012",492.96
"521","26.Jan.2012",493.58
"522","27.Jan.2012",485.64
"523","30.Jan.2012",485.35
"524","31.Jan.2012",488.99
"525","01.Feb.2012",488.75
"526","02.Feb.2012",487.73
"527","03.Feb.2012",483.7
"528","06.Feb.2012",478.64
"529","07.Feb.2012",481.09
"530","08.Feb.2012",479.98
"531","09.Feb.2012",477.13
"532","10.Feb.2012",475.29
"533","13.Feb.2012",478.39
"534","14.Feb.2012",478.2
"535","15.Feb.2012",482.99
"536","16.Feb.2012",482.75
"537","17.Feb.2012",486.59
"538","20.Feb.2012",483.94
"539","21.Feb.2012",482.18
"540","22.Feb.2012",481.5
"541","23.Feb.2012",483.57
"542","24.Feb.2012",481.08
"543","27.Feb.2012",479.08
"544","28.Feb.2012",481.27
"545","29.Feb.2012",477.41
"546","01.Mar.2012",476.27
"547","02.Mar.2012",480.62
"548","05.Mar.2012",484.47
"549","06.Mar.2012",485.06
"550","07.Mar.2012",489.68
"551","08.Mar.2012",491.57
"552","09.Mar.2012",485.03
"553","12.Mar.2012",483.46
"554","13.Mar.2012",484.81
"555","14.Mar.2012",484.71
"556","15.Mar.2012",485.71
"557","16.Mar.2012",484.53
"558","19.Mar.2012",480.9
"559","20.Mar.2012",482.83
"560","21.Mar.2012",485.61
"561","22.Mar.2012",484.98
"562","23.Mar.2012",487.72
"563","26.Mar.2012",489.54
"564","27.Mar.2012",486.31
"565","28.Mar.2012",486.42
"566","29.Mar.2012",488.71
"567","30.Mar.2012",489.76
"568","02.Apr.2012",487.44
"569","03.Apr.2012",485.76
"570","04.Apr.2012",482.17
"571","05.Apr.2012",483.78
"572","09.Apr.2012",485.07
"573","10.Apr.2012",486.1
"574","11.Apr.2012",487.04
"575","12.Apr.2012",487.37
"576","13.Apr.2012",483.98
